"時間戳記","請問您目前的身份是？","若您為在校生，請問您目前的年級為？","請問您在校內主要的移動方式／交通工具為何？","騎乘交通工具行經椰林大道時，您通常會選擇以下何種路線？","請問您對於以下敘述的認同程度？ [機動車輛的行駛路線經常變動，使我難以維持原有的騎乘路線]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我被迫加速]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我騎乘交通工具時感到危險]","您在椰林大道「發生車禍」的頻率？","您在椰林大道「幾乎要發生車禍，但是因閃避即時而未有事故」的頻率？","若您曾經在椰林大道上發生／即將發生過車禍，歡迎您提供當下狀況的簡短描述及改善意見：","我認為「縮減機動車的車道寬度」有助於改善交通工具騎士的安全","我認為「縮減機動車的車道寬度」有助於改善行人的安全","承上題，若您認為縮減機動車道寬度有助於改善騎士／行人安全，則您覺得以下何種方法較適當？","步行經過椰林大道時，您通常會選擇以下何種路線？","若您前一題選擇「椰子樹下的磚造人行道」以外的選項，原因是？","請問您對於以下敘述的認同程度？ [我必須要時時注意路況，才不會被自行車／機動車撞到]","請問您對於以下敘述的認同程度？ [我經常被突然竄出的自行車／機動車嚇到]","若您曾經在椰林大道與各式交通工具發生車禍，歡迎您提供當下狀況的簡短描述及改善意見：","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我看清楚路上的來車]","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我感到安心]","您對於椰林大道交通的任何想法？","您對於校內整體交通環境的任何想法？"
"2021/01/18 9:09:24 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","2","4","偶爾（每半年一次以上）","總是（每週一次以上）","我往公館方向，要左轉到共同，跟要往總圖的同學相撞，我的車龍頭歪掉，其他還好","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","他是人行道","2","2","","2","2","",""
"2021/01/18 9:28:37 上午 GMT+8","週邊居民","非學生","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","3","2","2","幾乎不曾遇過","幾乎不曾遇過","","2","2","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","沒有特殊原因","3","2","","3","3","",""
"2021/01/18 9:41:27 上午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","4","4","","3","2","",""
"2021/01/18 9:45:29 上午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","幾乎不曾遇過","經常（每月一次以上）","","2","1","縮減車道無助改善騎士／行人安全","⑥ 我幾乎不會在椰林大道步行","人行道積水嚴重;人行道路寬過小","4","4","","1","1","燈光設計差很多看不到對向來車",""
"2021/01/18 10:04:50 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","4","幾乎不曾遇過","幾乎不曾遇過","","4","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小","4","4","","1","1","",""
"2021/01/18 10:37:28 上午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","3","2","幾乎不曾遇過","幾乎不曾遇過","","2","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","⑥ 我幾乎不會在椰林大道步行","人行道積水嚴重;柏油路／磚造馬路離目的地較近","2","2","","3","3","",""
"2021/01/18 10:48:17 上午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","3","3","幾乎不曾遇過","偶爾（每半年一次以上）","","3","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","2","1","","4","4","",""
"2021/01/18 10:53:39 上午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","2","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","安全考量","5","3","","2","3","關於照明部分，有大道上的燈再加上腳踏車車燈是足夠的，但是許多腳踏車沒有安裝車燈，讓大道上的照明燈很難充分發揮效用。",""
"2021/01/18 11:07:17 上午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","4","4","4","幾乎不曾遇過","幾乎不曾遇過","","5","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑥ 我幾乎不會在椰林大道步行","人行道路寬過小","4","4","","1","1","",""
"2021/01/18 11:11:44 上午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","靠外側的車突然左轉或是相反情況","1","1","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","5","5","","2","2","應在各路口裝設交通號誌燈","應嚴格管制車速，常見各種交通工具高速行駛。應普及交通安全觀念，很多人不把自己和別人的安全當ㄧ回事"
"2021/01/18 11:27:43 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","3","4","","2","2","",""
"2021/01/18 11:50:47 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","1","3","4","幾乎不曾遇過","經常（每月一次以上）","","5","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","1","2","","1","1","",""
"2021/01/18 11:54:29 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","3","4","4","幾乎不曾遇過","經常（每月一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小","2","4","","2","2","",""
"2021/01/18 11:58:44 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","4","","3","3","",""
"2021/01/18 12:34:46 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","2","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","5","5","","1","1","現有路燈反而會有逆光，不容易看腳踏車的狀況","汽車車速幾乎都過快"
"2021/01/18 1:07:20 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","5","幾乎不曾遇過","偶爾（每半年一次以上）","","5","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","1","1","","5","4","",""
"2021/01/18 1:24:16 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","4","5","幾乎不曾遇過","偶爾（每半年一次以上）","","4","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間;縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","","3","4","","4","4","",""
"2021/01/18 1:30:53 下午 GMT+8","校友","非學生","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","1","1","1","幾乎不曾遇過","幾乎不曾遇過","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間;劃設鋸齒型標線引導車輛減速;縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","沒有特殊原因","1","3","","3","3","",""
"2021/01/18 1:34:26 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","① ② ③ 主線柏油路","人行道路寬過小","4","4","","2","2","感覺可以找城鄉所討論","腳踏車塞爆停車位問題有解嗎"
"2021/01/18 1:42:09 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","5","偶爾（每半年一次以上）","經常（每月一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","人行道積水嚴重","3","4","","2","2","",""
"2021/01/18 2:01:53 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","5","幾乎不曾遇過","偶爾（每半年一次以上）","","3","3","縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","","2","2","","2","1","",""
"2021/01/18 2:36:43 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","4","幾乎不曾遇過","幾乎不曾遇過","","3","3","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","人行道積水嚴重","4","4","","4","4","",""
"2021/01/18 5:08:07 下午 GMT+8","台大教職員工","非學生","步行，且幾乎不使用交通工具","","","","","","","","1","1","劃設鋸齒型標線引導車輛減速","① ② ③ 主線柏油路","沒有特殊原因","1","1","","1","1","希望禁止汽車通行。
僅開放機車、腳踏車、三輪車...等",""
"2021/01/18 5:11:49 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","1","1","1","幾乎不曾遇過","幾乎不曾遇過","","1","1","劃設鋸齒型標線引導車輛減速;縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","沒有特殊原因","1","1","","1","1","",""
"2021/01/18 6:02:32 下午 GMT+8","校友","非學生","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","3","5","幾乎不曾遇過","幾乎不曾遇過","","5","5","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","3","3","","4","4","",""
"2021/01/18 7:20:16 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","3","2","4","幾乎不曾遇過","經常（每月一次以上）","","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","4","","2","2","",""
"2021/01/18 8:02:25 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","幾乎不曾遇過","幾乎不曾遇過","","4","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","沒有特殊原因","3","4","","2","3","",""
"2021/01/18 10:23:45 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","4","幾乎不曾遇過","幾乎不曾遇過","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","5","4","","2","2","",""
"2021/01/18 10:50:20 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","5","5","幾乎不曾遇過","經常（每月一次以上）","","2","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","5","5","","3","3","",""
"2021/01/18 11:59:21 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","4","3","","2","2","",""
"2021/01/18 11:59:21 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","5","幾乎不曾遇過","幾乎不曾遇過","","2","3","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","人行道路寬過小;我以為只有那邊是人行道","5","5","","3","2","",""
"2021/01/19 9:39:37 上午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","2","4","幾乎不曾遇過","偶爾（每半年一次以上）","車子要轉彎沒有禮讓直行車也完全沒有減速 差點撞到","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","2","4","","4","4","",""
"2021/01/19 12:03:05 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","4","5","幾乎不曾遇過","經常（每月一次以上）","","5","5","中央柏油路改為人車共道路型","④ 椰子樹下的磚造人行道","人行道積水嚴重;人行道路寬過小;柏油路／磚造馬路離目的地較近","5","4","","2","2","",""
"2021/01/19 12:49:21 下午 GMT+8","台大學生","大學部二年級","小客車","② 主線柏油路，在車道正中央騎乘","1","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","","1","1","縮減車道無助改善騎士／行人安全","⑥ 我幾乎不會在椰林大道步行","沒有特殊原因","1","1","","5","5","導致椰林大道交通事故的主因是自行車而非其他機動車輛。以校園交通法規實際執行層面而言，對汽車實施20公里測速罰款而不對自行車實施顯有失公平。",""
"2021/01/19 5:32:51 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","4","幾乎不曾遇過","總是（每週一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑥ 我幾乎不會在椰林大道步行","常常有腳踏車，所以覺得很危險","5","5","","3","3","","後門要到長興宿舍的那個路口，曾經從長興那邊等紅綠燈過馬路進學校，前面卻有一個女生超級大逆向直衝我們這群乖乖過馬路騎往學校的同學，而且他騎非常快也不減速，當時我兩旁邊都是腳踏車(因為是全部人一起等紅綠燈過馬路)，我無法改變行徑方向只能等著被他撞!!!!!!!!!重點是他還沒道歉，也沒問我有沒有怎樣。
結論是，能不能好好處理腳踏車逆向的問題= ="
"2021/01/19 9:48:50 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","5","","3","2","",""
"2021/01/20 12:35:03 上午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","1","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","","2","1","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","","4","1","","4","4","",""
"2021/01/20 3:08:03 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","3","3","幾乎不曾遇過","經常（每月一次以上）","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","","4","3","","3","4","",""
"2021/01/21 2:49:37 上午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","3","2","幾乎不曾遇過","幾乎不曾遇過","","3","3","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑥ 我幾乎不會在椰林大道步行","沒有特殊原因","4","3","","3","3","",""
"2021/01/21 4:19:17 上午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","1","2","1","幾乎不曾遇過","幾乎不曾遇過","","1","1","劃設鋸齒型標線引導車輛減速;縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","4","3","","1","1","",""
"2021/01/21 5:51:19 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","2","5","幾乎不曾遇過","偶爾（每半年一次以上）","","4","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","⑤ 緊鄰兩側建築物的磚造馬路","","5","4","","5","5","",""
"2021/01/22 5:54:31 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","1","3","1","幾乎不曾遇過","幾乎不曾遇過","","4","1","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","人行道積水嚴重;人行道路寬過小","1","1","","5","5","",""
"2021/01/22 6:40:22 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","偶爾（每半年一次以上）","幾乎不曾遇過","","3","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","沒有特殊原因","4","2","","4","2","",""
"2021/01/22 7:38:16 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","5","幾乎不曾遇過","經常（每月一次以上）","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","3","4","","4","4","",""
"2021/01/22 7:38:28 下午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","1","3","","2","3","",""
"2021/01/22 7:42:38 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","⑤ 緊鄰兩側建築物的磚造馬路","5","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","柏油路／磚造馬路離目的地較近","2","5","","5","5","",""
"2021/01/22 7:46:22 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","③ 主線柏油路，靠中央的黃色虛線騎乘","2","1","1","幾乎不曾遇過","幾乎不曾遇過","","2","2","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","1","1","","2","3","對我來說最恐怖的是那些放手騎腳踏車的同學，人車那麼多還敢在那邊放手騎",""
"2021/01/22 7:47:30 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","2","幾乎不曾遇過","幾乎不曾遇過","","3","3","劃設鋸齒型標線引導車輛減速","⑤ 緊鄰兩側建築物的磚造馬路","","3","4","","3","3","",""
"2021/01/22 7:51:54 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","5","幾乎不曾遇過","總是（每週一次以上）","禁止計程車進入校園，增加檢舉系統針對曾遭檢舉的送貨(辦公)車輛禁止進入","2","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","我選擇磚道","5","3","無","2","2","駕駛素養不一，因此應個別禁止素養差的車輛進入而非全面禁止，希望能建立起一個差勁駕駛的資料庫","普遍學生對於行車安全規則，如禮讓直行車、十字路口減速都不甚理解"
"2021/01/22 8:04:39 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","2","3","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","3","4","","2","2","",""
"2021/01/22 8:06:48 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","4","5","幾乎不曾遇過","偶爾（每半年一次以上）","","3","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","人行道積水嚴重;柏油路／磚造馬路離目的地較近","3","3","","3","3","",""
"2021/01/22 8:13:27 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小","5","5","","2","2","晚上可怕很多，除了汽車在晚上開比早上快以外，因為照明幾乎都在地上，很難看都左右邊突然竄出的腳踏車","比起汽車，腳踏車騎士對行人更不友善"
"2021/01/22 8:22:03 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","4","3","偶爾（每半年一次以上）","偶爾（每半年一次以上）","騎在主線道時，兩旁支道有車要轉入，常會抓不準他們轉彎的弧度，導致來不及減速或閃躲。","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","3","4","","3","2","","1.水杉道、蒲葵道和小椰林道的交界處的交通十分混亂，路況常阻塞不通
2.綜合大樓前的小椰林道的馬路坑坑洞洞，騎車時感覺不平穩"
"2021/01/22 8:24:32 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","1","1","幾乎不曾遇過","偶爾（每半年一次以上）","","3","3","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","人行道路寬過小","4","3","","5","5","",""
"2021/01/22 8:28:27 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","3","幾乎不曾遇過","經常（每月一次以上）","","5","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小","5","4","","2","1","",""
"2021/01/22 8:30:59 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","3","2","4","幾乎不曾遇過","經常（每月一次以上）","","3","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","人行道路寬過小","1","2","","2","1","",""
"2021/01/22 8:38:32 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","3","幾乎不曾遇過","偶爾（每半年一次以上）","1. 前方同學因路面濕滑打滑而犁田，自己及時煞車
2. 對方逆向，自己及時閃避","3","3","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑥ 我幾乎不會在椰林大道步行","","3","3","","2","2","加強宣導在椰林大道上，要左轉時再靠左，不要明明還很遠就跨越雙黃線騎乘","1. 加強宣導順向騎乘自行車，避免因逆向而發生的車禍
2. 加強宣導右轉靠外側及左轉靠內側的觀念，外側左轉跟內側右轉的三寶真的不少"
"2021/01/22 8:47:07 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","2","5","幾乎不曾遇過","偶爾（每半年一次以上）","","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","5","3","","4","3","要轉彎的話很容易被後面或對向來車撞到，希望可以規劃路線","希望小福/普通前能人車分離"
"2021/01/22 8:47:20 下午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","人行道積水嚴重;人行道路寬過小","4","5","","4","4","",""
"2021/01/22 9:06:52 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","2","2","縮減車道無助改善騎士／行人安全","⑥ 我幾乎不會在椰林大道步行","人行道積水嚴重;人行道路寬過小","4","4","","4","4","",""
"2021/01/22 9:19:45 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","3","3","縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","柏油路／磚造馬路離目的地較近","2","3","","4","4","",""
"2021/01/22 9:22:33 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","5","5","幾乎不曾遇過","總是（每週一次以上）","","3","3","縮減車道無助改善騎士／行人安全","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重","5","5","","5","5","","希望禁止汽車入校，尤其是超速不停的計程車。以及來測速的警察一攔下超速的駕駛就馬上說「我們也不能開罰單罰你啦，只能勸你」真的很白癡………"
"2021/01/22 9:48:13 下午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","5","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","人行道積水嚴重","4","3","","4","1","個人認為既然都是主幹道，為何不提高照明程度，畢竟在椰林大道其實也很少見到動物出沒",""
"2021/01/22 9:49:13 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","2","2","","3","3","",""
"2021/01/22 9:49:34 下午 GMT+8","台大學生","大學部二年級","電動輪椅","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","5","5","","4","3","",""
"2021/01/22 10:04:19 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","3","2","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","3","3","","3","3","",""
"2021/01/22 10:08:16 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","1","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","5","5","","1","3","",""
